epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.615920648574829,0.0,0.0,1e-06,1e-06,1e-06,431.5727289387837,33480.77685546875,35538.0,2.0,392,0.0,4.664453125,0.76,5.19,1312.17684434143,3293.255859375,35538.0,0.0
1,4.52183876991272,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,435.1490624345113,33472.064453125,35540.0,2.0,392,0.0,4.614765625,1.07,6.45,1320.1415199928088,3293.255859375,35540.0,0.0
2,4.439524034500122,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,434.1861566148666,33472.064453125,35540.0,2.0,392,0.0,4.544296875,2.08,9.51,1331.813004652752,3293.255859375,35540.0,0.0
3,4.403849580764771,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,436.75349357685684,33472.064453125,35540.0,2.0,392,0.0,4.461953125,3.74,14.36,1335.018844872887,3293.255859375,35540.0,0.0
4,4.375787647247314,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,438.2730229908678,33472.064453125,35540.0,2.0,392,0.0,4.38,5.8,20.2,1321.5383608100335,3293.255859375,35540.0,0.0
5,4.374351835250854,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,437.53237807444776,33472.064453125,35540.0,2.0,392,0.0,4.3059375,7.89,25.35,1321.0172884819262,3293.255859375,35540.0,0.0
6,4.356313447952271,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,437.9722238892409,33472.064453125,35540.0,2.0,392,0.0,4.24125,9.41,28.48,1320.3431144863218,3293.255859375,35540.0,0.0
7,4.337497938156128,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,436.9234454372286,33472.064453125,35540.0,2.0,392,0.0,4.18140625,10.26,30.49,1334.7077854156735,3293.255859375,35540.0,0.0
8,4.33859051322937,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,437.58904849875876,33472.064453125,35540.0,2.0,392,0.0,4.128125,11.14,32.16,1300.0727696619351,3293.255859375,35540.0,0.0
9,4.3324977512359615,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,438.1794336874652,33472.064453125,35540.0,2.0,392,0.0,4.0792578125,11.91,33.55,1346.6743968008623,3293.255859375,35540.0,0.0
10,4.322365981101989,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,437.4737374418075,33472.064453125,35540.0,2.0,392,0.0,4.0335546875,12.83,34.97,1337.9733036571906,3293.255859375,35540.0,0.0
11,4.318080598831177,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,437.5899159147934,33472.064453125,35540.0,2.0,392,0.0,3.99125,13.68,36.31,1336.67718488016,3293.255859375,35540.0,0.0
12,4.329223400115967,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,438.0954725011579,33472.064453125,35540.0,2.0,392,0.0,3.9507421875,14.41,37.53,1296.1821826620355,3293.255859375,35540.0,0.0
13,4.332088982582092,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,437.70883102015557,33472.064453125,35540.0,2.0,392,0.0,3.910390625,15.1,39.03,1342.0203602433176,3293.255859375,35540.0,0.0
14,4.333071775436402,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,437.9127090781399,33472.064453125,35540.0,2.0,392,0.0,3.8741015625,15.61,40.19,1305.841376616959,3293.255859375,35540.0,0.0
15,4.321142105102539,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,437.25998640005247,33472.064453125,35540.0,2.0,392,0.0,3.833125,16.42,41.44,1309.3490706059172,3293.255859375,35540.0,0.0
16,4.329698921203613,0.0,0.0,0.0008002000000000002,0.0008002000000000002,0.0008002000000000002,437.6062340208486,33472.064453125,35540.0,2.0,392,0.0,3.795546875,16.85,42.51,1303.2292014536943,3293.255859375,35540.0,0.0
17,4.341077806472779,0.0,0.0,0.0008501500000000001,0.0008501500000000001,0.0008501500000000001,437.66833357311174,33472.064453125,35540.0,2.0,392,0.0,3.75640625,17.37,43.64,1302.3442982319955,3293.255859375,35540.0,0.0
18,4.332560592651367,0.0,0.0,0.0009001000000000001,0.0009001000000000001,0.0009001000000000001,437.57393409812124,33472.064453125,35540.0,2.0,392,0.0,3.723515625,18.11,44.76,1317.9460096703328,3293.255859375,35540.0,0.0
19,4.325837574005127,0.0,0.0,0.0009500500000000001,0.0009500500000000001,0.0009500500000000001,437.9154578385823,33472.064453125,35540.0,2.0,392,0.0,3.6926171875,18.68,45.74,1324.3147530979268,3293.255859375,35540.0,0.0
20,4.3197727870941165,0.0,0.0,0.0009779754323328191,0.0009779754323328191,0.0009779754323328191,435.2291168385422,33702.64306640625,35540.0,2.0,392,0.0025,3.6656640625,19.15,46.62,1317.006855695053,3293.255859375,35540.0,0.0
21,4.312260231971741,0.0,0.0,0.0009757384114723954,0.0009757384114723954,0.0009757384114723954,435.5118799881212,33702.64306640625,35540.0,2.0,392,0.005,3.6409375,19.71,47.43,1321.6203946096416,3293.255859375,35540.0,0.0
22,4.304753211975098,0.0,0.0,0.0009733963460294015,0.0009733963460294015,0.0009733963460294015,435.4027113204692,33702.64306640625,35540.0,2.0,392,0.0075000000000000015,3.6167578125,20.25,48.31,1330.4448004234785,3293.255859375,35540.0,0.0
23,4.289522941589356,0.0,0.0,0.0009709498138734404,0.0009709498138734404,0.0009709498138734404,435.6206591208166,33702.64306640625,35540.0,2.0,392,0.01,3.59640625,20.75,49.02,1321.4182017614608,3293.255859375,35540.0,0.0
