resolution,variant,median_ms,min_round_median_ms,max_round_median_ms
224,dense,30.09102439880371,29.816399574279785,30.099711418151855
224,tome_prop_true,34.41838264465332,34.4050235748291,34.4332160949707
224,tome_prop_false,29.711135864257812,29.685471534729004,29.71987247467041
224,mn_r3,49.160593032836914,49.15276908874512,49.17406463623047
224,mn_r3_bnhd,46.56319999694824,46.559776306152344,46.77811241149902
384,dense,109.4286880493164,109.13793563842773,109.46123504638672
384,tome_prop_true,133.35873413085938,133.32331085205078,133.54176330566406
384,tome_prop_false,96.04748916625977,95.9283218383789,96.05667114257812
384,mn_r3,144.97476959228516,144.89071655273438,145.04364776611328
384,mn_r3_bnhd,138.11420440673828,137.95484161376953,138.27185821533203
384,mn_r5,218.25,218.05824279785156,218.4168472290039
384,mn_r5_bnhd,211.3994598388672,211.37503814697266,211.41461181640625
