epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.616093236923218,0.0,0.0,1e-06,1e-06,1e-06,433.2300212808771,33481.6728515625,35546.0,2.0,392,0.0,4.66421875,0.69,5.08,1332.695270428088,3292.1396484375,35546.0,0.0
1,4.521542417526245,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,437.22356357289704,33472.04150390625,35548.0,2.0,392,0.0,4.615234375,1.09,6.31,1321.704312814463,3292.1396484375,35548.0,0.0
2,4.438852909088134,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,438.323008847079,33472.04150390625,35548.0,2.0,392,0.0,4.544453125,2.12,9.52,1330.5872054691101,3292.1396484375,35548.0,0.0
3,4.4030436954498295,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,437.0006782584132,33472.04150390625,35548.0,2.0,392,0.0,4.46171875,3.76,14.39,1339.858317537206,3292.1396484375,35548.0,0.0
4,4.375119821548462,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,440.0029998602352,33472.04150390625,35548.0,2.0,392,0.0,4.379453125,5.84,20.22,1322.033633325592,3292.1396484375,35548.0,0.0
5,4.37354105758667,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,437.83401918669665,33472.04150390625,35548.0,2.0,392,0.0,4.305390625,8.02,25.57,1340.092781759087,3292.1396484375,35548.0,0.0
6,4.355799068450928,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,439.23972690962324,33472.04150390625,35548.0,2.0,392,0.0,4.239453125,9.4,28.6,1321.3887690410402,3292.1396484375,35548.0,0.0
7,4.334991338729858,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,438.5867187790664,33472.04150390625,35548.0,2.0,392,0.0,4.179140625,10.27,30.71,1336.6211703472231,3292.1396484375,35548.0,0.0
8,4.336365158081055,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,438.10349513627665,33472.04150390625,35548.0,2.0,392,0.0,4.125,11.25,32.11,1367.6256644886128,3292.1396484375,35548.0,0.0
9,4.327677139282226,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,438.5214148873946,33472.04150390625,35548.0,2.0,392,0.0,4.0758203125,12.17,33.52,1353.7951820198045,3292.1396484375,35548.0,0.0
