batch,tokens_including_cls,mode,original_ms,BNHD_ms,time_reduction_pct,original_round_medians_ms,BNHD_round_medians_ms,paired_round_time_reduction_min_pct,paired_round_time_reduction_max_pct
64,785,forward,1.5599520206451416,1.0448480248451233,33.02050248872329,1.5787519812583923;1.5468479990959167;1.5599520206451416,1.0414239764213562;1.3380320072174072;1.0448480248451233,13.499451271266205,34.034985305845346
64,785,forward+backward,5.158975839614868,4.399856090545654,14.714543596813668,5.915312051773071;5.1576478481292725;5.158975839614868,4.398911952972412;4.400336027145386;4.399856090545654,14.68327895357514,25.635166590173874
16,2305,forward,1.031823992729187,0.9369279742240906,9.196919161968243,0.97707200050354;1.031823992729187;1.4796159863471985,0.7109439969062805;0.9607840180397034;0.9369279742240906,6.884892693915945,36.677625622501466
16,2305,forward+backward,5.374032020568848,4.917616128921509,8.492987944627595,5.374032020568848;5.577232122421265;5.360127925872803,4.791967868804932;4.917616128921509;5.068143844604492,5.447334192509334,11.826941734198327
