epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,1.8717696421286638,77.1792722072342,91.32545526079137,1e-06,1e-06,1e-06,466.7508971571532,31160.81494140625,32712.0,2.0,0.05,0.82838375,80.728,95.456,1532.4808276392619,3543.41162109375,4378.0
1,1.8287328855664122,77.87153090027978,91.68126436350919,9.97534852915723e-06,9.97534852915723e-06,9.97534852915723e-06,466.52417836922143,31179.267578125,32736.0,2.0,0.05,0.7815234375,81.554,95.848,1531.51517318465,3543.087890625,32736.0
2,1.8360886246550316,78.15185351718625,91.85167491007195,9.901664203302126e-06,9.901664203302126e-06,9.901664203302126e-06,466.42240745028795,31181.2080078125,32736.0,2.0,0.05,0.7596475,81.968,96.026,1525.3454915335424,3542.8779296875,32736.0
3,1.816326520022224,78.32405950239809,91.91115857314149,9.779754323328192e-06,9.779754323328192e-06,9.779754323328192e-06,470.7261705473334,31177.49365234375,32736.0,2.0,0.05,0.749985,82.198,96.09,1531.7538407349734,3544.78662109375,32736.0
4,1.8103384784623688,78.44115332733813,91.98883081035171,9.610954559391704e-06,9.610954559391704e-06,9.610954559391704e-06,472.57241706994336,31181.0380859375,32736.0,2.0,0.05,0.7456071875,82.292,96.152,1532.6665886186406,3544.39013671875,32736.0
5,1.81585319369447,78.43990432653877,91.95893285371703,9.397114317029975e-06,9.397114317029975e-06,9.397114317029975e-06,475.8582071236072,31182.9296875,32736.0,2.0,0.05,0.743631875,82.358,96.186,1130.1548063522555,3544.39013671875,32736.0
6,1.8217988949196011,78.51507856215028,92.01482563948841,9.140576474687265e-06,9.140576474687265e-06,9.140576474687265e-06,476.151228667193,31182.9296875,32736.0,2.0,0.05,0.742811875,82.404,96.166,1527.10238048248,3544.39013671875,32736.0
7,1.8058300322177363,78.62756669664269,92.0867212480016,8.844151714648274e-06,8.844151714648274e-06,8.844151714648274e-06,476.0870115241304,31182.9296875,32736.0,2.0,0.05,0.74236375,82.44,96.132,1528.2258189984373,3544.39013671875,32736.0
8,1.7869517125335395,78.65317121302958,92.0626779826139,8.511087728614863e-06,8.511087728614863e-06,8.511087728614863e-06,474.91644302954853,31182.9296875,32736.0,2.0,0.05,0.742505625,82.436,96.136,1312.2462490076036,3544.39013671875,32736.0
9,1.7933044947829901,78.73099957533972,92.13543227917665,8.14503363531613e-06,8.14503363531613e-06,8.14503363531613e-06,470.21301203097477,31182.9296875,32736.0,2.0,0.05,0.742090625,82.494,96.104,1100.9369176058315,3544.39013671875,32736.0
10,1.7920403854519713,78.83224670263789,92.17376099120703,7.75e-06,7.75e-06,7.75e-06,474.72037896442595,31182.9296875,32736.0,2.0,0.05,0.741899375,82.47,96.122,1253.8065321359816,3544.39013671875,32736.0
11,1.802871885252934,78.91062150279777,92.20201963429257,7.330314893841102e-06,7.330314893841102e-06,7.330314893841102e-06,474.83217597504535,31182.9296875,32736.0,2.0,0.05,0.742243125,82.458,96.142,1533.0439723362126,3544.39013671875,32736.0
12,1.7853886157858605,78.972681230016,92.23753809452438,6.890576474687264e-06,6.890576474687264e-06,6.890576474687264e-06,475.71867896987044,31182.9296875,32736.0,2.0,0.05,0.742603125,82.476,96.108,1530.984813702216,3544.39013671875,32736.0
13,1.7924540218184977,79.03809764688249,92.24682753796962,6.435602608679916e-06,6.435602608679916e-06,6.435602608679916e-06,476.29302258409285,31182.9296875,32736.0,2.0,0.05,0.742470625,82.472,96.114,1533.0909412245373,3544.39013671875,32736.0
14,1.7896117532954496,79.03021332933653,92.25588279376498,5.970378084704441e-06,5.970378084704441e-06,5.970378084704441e-06,477.7840484331276,31182.9296875,32736.0,2.0,0.05,0.742598125,82.44,96.124,1529.9994995943753,3544.39013671875,32736.0
15,1.7813640879649741,79.10023543665068,92.31521033173462,5.500000000000001e-06,5.500000000000001e-06,5.500000000000001e-06,475.4779217138714,31182.9296875,32736.0,2.0,0.05,0.7429278125,82.446,96.116,1530.1435511360223,3544.39013671875,32736.0
16,1.8009475656584197,79.09859612310152,92.2953043814948,5.02962191529556e-06,5.02962191529556e-06,5.02962191529556e-06,472.11036830652773,31182.9296875,32736.0,2.0,0.05,0.74285125,82.418,96.112,1534.004318805227,3544.39013671875,32736.0
17,1.783767930432862,79.18696292965627,92.35791054656275,4.564397391320083e-06,4.564397391320083e-06,4.564397391320083e-06,477.45201600301533,31182.9296875,32736.0,2.0,0.05,0.7430640625,82.47,96.12,1240.67687370574,3544.39013671875,32736.0
18,1.7648206516808154,79.25651666167066,92.37844099720223,4.109423525312737e-06,4.109423525312737e-06,4.109423525312737e-06,480.55162429942783,31182.9296875,32736.0,2.0,0.05,0.7432709375,82.484,96.11,1532.6164087793452,3544.39013671875,32736.0
19,1.780478906397726,79.2263845173861,92.35775442146283,3.6696851061588997e-06,3.6696851061588997e-06,3.6696851061588997e-06,478.364362823459,31182.9296875,32736.0,2.0,0.05,0.743461875,82.502,96.124,1531.6908331507902,3544.39013671875,32736.0
20,1.7873664054216123,79.25987335131894,92.35634929556355,3.250000000000001e-06,3.250000000000001e-06,3.250000000000001e-06,475.48339774639544,31182.9296875,32736.0,2.0,0.05,0.7433315625,82.544,96.124,1525.9543215652411,3544.39013671875,32736.0
21,1.7765297048232134,79.34636665667466,92.39522444544365,2.8549663646838717e-06,2.8549663646838717e-06,2.8549663646838717e-06,481.50952238394893,31182.9296875,32736.0,2.0,0.05,0.7437278125,82.562,96.128,1523.4469754512243,3544.39013671875,32736.0
22,1.7798066162595563,79.30405675459632,92.40396745103916,2.4889122713851393e-06,2.4889122713851393e-06,2.4889122713851393e-06,483.50979257973194,31182.9296875,32736.0,2.0,0.05,0.74375875,82.574,96.118,1527.2443298828002,3544.39013671875,32736.0
23,1.776864255175871,79.35011365907275,92.40599707733813,2.155848285351727e-06,2.155848285351727e-06,2.155848285351727e-06,482.33134226978035,31182.9296875,32736.0,2.0,0.05,0.7439475,82.54,96.112,1530.7176600300595,3544.39013671875,32736.0
