epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.927358058782724,0.0,0.0,1e-06,1e-06,1e-06,6888.296090139961,4867.47509765625,5350.0,2.0,6.9778375,0.13,0.546,8549.248725522517,717.91455078125,794.0
1,6.696218618979821,0.0,0.0,0.0001008,0.0001008,0.0001008,7844.857539475284,4867.47509765625,5348.0,2.0,6.96788,0.126,0.561999999961853,8374.339799849016,717.57080078125,5348.0
2,6.488307164265559,0.0,0.0,0.0002006,0.0002006,0.0002006,7842.149069034496,4867.47509765625,5348.0,2.0,6.9567625,0.136,0.593999999961853,8508.51440948597,717.57080078125,5348.0
3,6.32424677335299,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,7822.390254883242,4867.47509765625,5348.0,2.0,6.9454975,0.1559999999809265,0.6720000003051758,8580.909265773316,717.57080078125,5348.0
4,6.219292860764724,0.0,0.0,0.0004002,0.0004002,0.0004002,7769.79266743547,4867.47509765625,5348.0,2.0,6.9339,0.15199999996185304,0.7640000006103516,8479.113377866275,717.57080078125,5348.0
5,6.049044682429387,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,7805.26336718974,4867.47509765625,5348.0,2.0,6.91968875,0.17799999996185303,0.8839999998855591,8544.397312649759,717.57080078125,5348.0
6,5.874154439339271,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,7803.743196264177,4867.47509765625,5348.0,2.0,6.90110625,0.226,1.0380000003051757,8603.326731363753,717.57080078125,5348.0
7,5.731840518804697,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,7783.343664321357,4867.47509765625,5348.0,2.0,6.8789775,0.306,1.2099999999427795,8525.712021183537,717.57080078125,5348.0
8,5.551563024520874,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,7799.564325778562,4867.47509765625,5348.0,2.0,6.85942,0.365999999961853,1.4420000010681153,8663.05496745786,717.57080078125,5348.0
9,5.472951705639179,0.0,0.0,0.0004956603764285287,0.0004956603764285287,0.0004956603764285287,7605.195280170425,4867.47509765625,5348.0,2.0,6.8417025,0.38799999992370604,1.608000000228882,8462.02862209907,717.57080078125,5348.0
10,5.240055579405564,0.0,0.0,0.0004946461621797824,0.0004946461621797824,0.0004946461621797824,7834.76714002122,4867.47509765625,5348.0,2.0,6.82102625,0.45199999992370604,1.7520000002288818,8647.821966580837,717.57080078125,5348.0
11,5.24906796675462,0.0,0.0,0.0004935268312039243,0.0004935268312039243,0.0004935268312039243,7795.173802358453,4867.47509765625,5348.0,2.0,6.79627125,0.5300000003051758,2.1220000006103517,8590.404856876696,717.57080078125,5348.0
12,5.182945875021128,0.0,0.0,0.0004923028744765145,0.0004923028744765145,0.0004923028744765145,7793.937985967275,4867.47509765625,5348.0,2.0,6.76621,0.6620000003051758,2.5460000006103516,8533.92261013466,717.57080078125,5348.0
13,5.0927288715655985,0.0,0.0,0.0004909748288654262,0.0004909748288654262,0.0004909748288654262,7793.427816599058,4867.47509765625,5348.0,2.0,6.72795,0.8720000003051758,3.1000000006103514,8434.588314738969,717.57080078125,5348.0
14,5.047770646902231,0.0,0.0,0.0004895432768953564,0.0004895432768953564,0.0004895432768953564,7759.215401120198,4867.47509765625,5348.0,2.0,6.6793975,1.2060000003051758,3.914000001754761,8513.681127251471,717.57080078125,5348.0
15,4.936215840853178,0.0,0.0,0.00048800884649231267,0.00048800884649231267,0.00048800884649231267,7170.81144853436,4867.47509765625,5348.0,2.0,6.6176875,1.6060000003051758,5.0300000009155275,8378.466369168103,717.57080078125,5348.0
16,4.859851947197547,0.0,0.0,0.0004863722107081829,0.0004863722107081829,0.0004863722107081829,5686.355320223808,4867.47509765625,5348.0,2.0,6.540685,2.1739999999427795,6.552000001220703,6696.986456366516,717.57080078125,5348.0
17,4.820853013258714,0.0,0.0,0.00048463408742551345,0.00048463408742551345,0.00048463408742551345,7737.613070585526,4867.47509765625,5348.0,2.0,6.44473875,2.929999999847412,8.579999996032715,8671.532710293513,717.57080078125,5348.0
18,4.7032228616567755,0.0,0.0,0.0004827952390426216,0.0004827952390426216,0.0004827952390426216,7415.364617860164,4867.47509765625,5348.0,2.0,6.32922125,3.987999999694824,11.224,7391.809481795226,717.57080078125,5348.0
19,4.747155024455144,0.0,0.0,0.0004808564721391826,0.0004808564721391826,0.0004808564721391826,7157.461068145108,4867.47509765625,5348.0,2.0,6.19305375,5.4540000021362305,14.508,8289.478765550886,717.57080078125,5348.0
20,4.729437296207134,0.0,0.0,0.0004788186371224372,0.0004788186371224372,0.0004788186371224372,7673.4494852334665,4867.47509765625,5348.0,2.0,6.03443625,7.326000001831055,18.33400001953125,8677.805231364884,717.57080078125,5348.0
21,4.643694107349102,0.0,0.0,0.0004766826278541748,0.0004766826278541748,0.0004766826278541748,7485.404068457929,4867.47509765625,5348.0,2.0,5.85562,9.568000002441407,22.853999989013673,8699.932293131373,717.57080078125,5348.0
22,4.522882278148945,0.0,0.0,0.00047444938125865615,0.00047444938125865615,0.00047444938125865615,7683.630510131672,4867.47509765625,5348.0,2.0,5.65422,12.344000009765624,28.084000006103516,8649.059195322967,717.57080078125,5348.0
23,4.516665073541494,0.0,0.0,0.0004721198769116476,0.0004721198769116476,0.0004721198769116476,7913.577436424564,4867.47509765625,5348.0,2.0,5.439315,15.550000006103515,33.204000002441404,8384.25824682155,717.57080078125,5348.0
24,4.5200136074653035,0.0,0.0,0.00046969513661074654,0.00046969513661074654,0.00046969513661074654,7609.104641948953,4867.47509765625,5348.0,2.0,5.2143975,18.888,38.380000012207034,8617.223632343976,717.57080078125,5348.0
