epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.6194501399993895,0.0,0.0,1e-06,1e-06,1e-06,438.0032918584653,31891.60888671875,33574.0,2.0,392,0.0,4.673671875,0.97,4.12,1418.5025682538935,3194.89892578125,33574.0,0.0
1,4.5094935359954835,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,451.546923268263,31881.96484375,33576.0,2.0,392,0.0,4.62375,1.19,5.71,1462.7101168193124,3194.89892578125,33576.0,0.0
2,4.438031330108642,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,451.3565834542892,31881.96484375,33576.0,2.0,392,0.0,4.550390625,2.16,8.95,1453.8548242956265,3194.89892578125,33576.0,0.0
3,4.412631914138794,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,451.23968612278054,31881.96484375,33576.0,2.0,392,0.0,4.462265625,4.37,14.59,1425.278980517536,3194.89892578125,33576.0,0.0
4,4.379212533950805,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,451.3287295371905,31881.96484375,33576.0,2.0,392,0.0,4.375859375,6.46,21.35,1422.4920940235074,3194.89892578125,33576.0,0.0
5,4.370483257293701,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,450.7816187709298,31881.96484375,33576.0,2.0,392,0.0,4.298125,8.14,25.64,1439.923824830617,3194.89892578125,33576.0,0.0
6,4.366395219802857,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,450.87847766044666,31881.96484375,33576.0,2.0,392,0.0,4.23171875,9.62,28.33,1401.6430985576421,3194.89892578125,33576.0,0.0
7,4.338465216636657,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,451.48468870088817,31881.96484375,33576.0,2.0,392,0.0,4.174140625,10.41,30.23,1414.478543099619,3194.89892578125,33576.0,0.0
8,4.347296028137207,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,451.9256307245246,31881.96484375,33576.0,2.0,392,0.0,4.1253125,11.01,31.93,1432.8972856216992,3194.89892578125,33576.0,0.0
9,4.3413774776458744,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,451.23315190743386,31881.96484375,33576.0,2.0,392,0.0,4.082890625,11.54,33.17,1455.4620130606622,3194.89892578125,33576.0,0.0
10,4.3103785982131955,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,452.0660733098263,31881.96484375,33576.0,2.0,392,0.0,4.04171875,12.34,34.19,1395.1768102096655,3194.89892578125,33576.0,0.0
11,4.328204929351807,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,404.71988915747625,31881.96484375,33576.0,2.0,392,0.0,4.003828125,12.8,35.26,1436.8524291306094,3194.89892578125,33576.0,0.0
12,4.316206280708313,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,450.6745710704052,31881.96484375,33576.0,2.0,392,0.0,3.9670703125,13.43,36.62,1395.9537515501568,3194.89892578125,33576.0,0.0
13,4.3095456314086915,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,452.29033880979495,31881.96484375,33576.0,2.0,392,0.0,3.9281640625,14.19,37.82,1423.2478455679664,3194.89892578125,33576.0,0.0
14,4.31489208984375,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,451.4442434870272,31881.96484375,33576.0,2.0,392,0.0,3.8882421875,14.94,39.21,1427.9864236047229,3194.89892578125,33576.0,0.0
15,4.29659954738617,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,451.92345314640903,31881.96484375,33576.0,2.0,392,0.0,3.847890625,15.79,40.38,1453.5697487551288,3194.89892578125,33576.0,0.0
16,4.299804282188416,0.0,0.0,0.0008002000000000002,0.0008002000000000002,0.0008002000000000002,451.75446076435094,31881.96484375,33576.0,2.0,392,0.0,3.8094140625,16.74,41.79,1453.0232888132107,3194.89892578125,33576.0,0.0
17,4.275428840637207,0.0,0.0,0.0008501500000000001,0.0008501500000000001,0.0008501500000000001,452.0089631989014,31881.96484375,33576.0,2.0,392,0.0,3.7701953125,17.21,43.07,1395.6069650047802,3194.89892578125,33576.0,0.0
18,4.280966009140014,0.0,0.0,0.0009001000000000001,0.0009001000000000001,0.0009001000000000001,451.18379022958845,31881.96484375,33576.0,2.0,392,0.0,3.7302734375,17.99,44.19,1422.6225084627015,3194.89892578125,33576.0,0.0
19,4.27138125705719,0.0,0.0,0.0009500500000000001,0.0009500500000000001,0.0009500500000000001,451.6795842726247,31881.96484375,33576.0,2.0,392,0.0,3.691875,18.55,45.5,1440.228942032789,3194.89892578125,33576.0,0.0
20,4.261706740379333,0.0,0.0,0.0009779754323328191,0.0009779754323328191,0.0009779754323328191,448.8852768907496,32112.54345703125,33578.0,2.0,392,0.0025,3.6567578125,19.4,46.58,1437.15870811195,3194.89892578125,33578.0,0.0
21,4.255485221862793,0.0,0.0,0.0009757384114723954,0.0009757384114723954,0.0009757384114723954,448.890631589426,32112.54345703125,33578.0,2.0,392,0.005,3.621875,20.17,47.85,1423.0069914316352,3194.89892578125,33578.0,0.0
22,4.234827082633972,0.0,0.0,0.0009733963460294015,0.0009733963460294015,0.0009733963460294015,448.66377565575505,32112.54345703125,33578.0,2.0,392,0.0075000000000000015,3.5898046875,20.89,48.99,1430.4733261639778,3194.89892578125,33578.0,0.0
23,4.234214122772217,0.0,0.0,0.0009709498138734404,0.0009709498138734404,0.0009709498138734404,428.22757936821483,32112.54345703125,33578.0,2.0,392,0.01,3.562890625,21.73,50.32,1458.8870792286268,3194.89892578125,33578.0,0.0
24,4.230429879188538,0.0,0.0,0.0009683994186497131,0.0009683994186497131,0.0009683994186497131,449.6851185429546,32112.54345703125,33578.0,2.0,392,0.0125,3.5375,22.75,51.58,1448.797160646281,3194.89892578125,33578.0,0.0
25,4.218571886062622,0.0,0.0,0.000965745789630079,0.000965745789630079,0.000965745789630079,415.72347113247736,32112.54345703125,33578.0,2.0,392,0.015000000000000003,3.5141015625,23.65,52.85,1457.0006830802306,3194.89892578125,33578.0,0.0
26,4.201897410392761,0.0,0.0,0.0009629895815577914,0.0009629895815577914,0.0009629895815577914,269.4452671936736,32112.54345703125,33578.0,2.0,392,0.0175,3.4924609375,24.42,53.99,1439.9766709101816,3194.89892578125,33578.0,0.0
27,4.197375945091247,0.0,0.0,0.0009601314744859503,0.0009601314744859503,0.0009601314744859503,449.4305296402854,32112.54345703125,33578.0,2.0,392,0.02,3.47390625,25.0,54.91,1468.1326814325935,3194.89892578125,33578.0,0.0
28,4.2100047655105595,0.0,0.0,0.0009571721736097088,0.0009571721736097088,0.0009571721736097088,448.6503033347234,32112.54345703125,33578.0,2.0,392,0.0225,3.4579296875,25.74,55.59,1414.7022989303616,3194.89892578125,33578.0,0.0
29,4.172493824005127,0.0,0.0,0.000954112409092277,0.000954112409092277,0.000954112409092277,448.4355878151651,32112.54345703125,33578.0,2.0,392,0.025,3.4398046875,26.32,56.54,1468.6133779090899,3194.89892578125,33578.0,0.0
30,4.168354302406311,0.0,0.0,0.0009509529358847655,0.0009509529358847655,0.0009509529358847655,448.845464153324,32112.54345703125,33578.0,2.0,392,0.027500000000000004,3.4217578125,26.89,57.3,1416.7945202332915,3194.89892578125,33578.0,0.0
31,4.166983820915222,0.0,0.0,0.0009476945335399121,0.0009476945335399121,0.0009476945335399121,448.25201097952726,32112.54345703125,33578.0,2.0,392,0.030000000000000006,3.4053515625,27.81,58.02,1413.141587669781,3194.89892578125,33578.0,0.0
