epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb
0,6.927260673963106,0.0,0.0,1e-06,1e-06,1e-06,3168.2458894885963,17219.56201171875,17524.0,2.0,6.9781875,0.092,0.49999999998092653,8643.169034491164,1157.25439453125,1518.0
1,6.661607668950007,0.0,0.0,0.0001008,0.0001008,0.0001008,3360.811479703126,17218.74951171875,17740.0,2.0,6.96847,0.09,0.5019999999809265,8523.881314551427,1158.47314453125,17740.0
2,6.4064267965463495,0.0,0.0,0.0002006,0.0002006,0.0002006,3360.3073355239444,17218.74951171875,17740.0,2.0,6.95761875,0.084,0.5219999999809265,8345.638975519521,1158.47314453125,17740.0
3,6.217394498678354,0.0,0.0,0.00030040000000000004,0.00030040000000000004,0.00030040000000000004,3360.830824129754,17218.74951171875,17740.0,2.0,6.94806125,0.106,0.603999999961853,8427.866011224203,1158.47314453125,17740.0
4,6.133005985846887,0.0,0.0,0.0004002,0.0004002,0.0004002,3352.4970922669263,17218.74951171875,17740.0,2.0,6.93922375,0.118,0.6319999999618531,8474.367925456183,1158.47314453125,17740.0
5,5.941289443236131,0.0,0.0,0.000498657864365227,0.000498657864365227,0.000498657864365227,3355.740928540903,17218.74951171875,17740.0,2.0,6.933385,0.138,0.6879999999237061,8646.911657934,1158.47314453125,17740.0
6,5.729821315178504,0.0,0.0,0.000498068101822047,0.000498068101822047,0.000498068101822047,3352.8069370350195,17218.74951171875,17740.0,2.0,6.92889,0.1939999999809265,0.7680000003051758,8788.99782721714,1158.47314453125,17740.0
7,5.542021017808181,0.0,0.0,0.0004973717215759322,0.0004973717215759322,0.0004973717215759322,3352.52814947277,17218.74951171875,17740.0,2.0,6.91816375,0.17,0.789999999961853,8540.75993000098,1158.47314453125,17740.0
8,5.320776755993183,0.0,0.0,0.0004965690290822737,0.0004965690290822737,0.0004965690290822737,3358.8122568355866,17218.74951171875,17740.0,2.0,6.90397375,0.198,0.949999999961853,8401.734533966488,1158.47314453125,17740.0
9,5.213125724058885,0.0,0.0,0.0004956603764285287,0.0004956603764285287,0.0004956603764285287,3352.1761910401624,17218.74951171875,17740.0,2.0,6.889665,0.236,1.1299999999809265,8505.273130476115,1158.47314453125,17740.0
10,4.972090556071355,0.0,0.0,0.0004946461621797824,0.0004946461621797824,0.0004946461621797824,3358.0836035420366,17218.74951171875,17740.0,2.0,6.8774925,0.306,1.28,8534.58594773411,1158.47314453125,17740.0
11,4.955947215740498,0.0,0.0,0.0004935268312039243,0.0004935268312039243,0.0004935268312039243,3353.0037436186553,17218.74951171875,17740.0,2.0,6.8634675,0.33,1.438,8462.741958062305,1158.47314453125,17740.0
12,4.880086330267099,0.0,0.0,0.0004923028744765145,0.0004923028744765145,0.0004923028744765145,3353.0019462223827,17218.74951171875,17740.0,2.0,6.84704375,0.398,1.601999999961853,8448.634534531704,1158.47314453125,17740.0
13,4.803665307851938,0.0,0.0,0.0004909748288654262,0.0004909748288654262,0.0004909748288654262,3359.5610750712817,17218.74951171875,17740.0,2.0,6.8288325,0.46,1.8239999999809264,8407.11205363004,1158.47314453125,17740.0
14,4.736289574549748,0.0,0.0,0.0004895432768953564,0.0004895432768953564,0.0004895432768953564,3329.6513461369514,17218.74951171875,17740.0,2.0,6.80526,0.58,2.0619999999809266,8597.365092439368,1158.47314453125,17740.0
15,4.620186438927283,0.0,0.0,0.00048800884649231267,0.00048800884649231267,0.00048800884649231267,3290.4485778882827,17218.74951171875,17740.0,2.0,6.77487625,0.682,2.4119999999809267,8610.561054615044,1158.47314453125,17740.0
16,4.548209006969746,0.0,0.0,0.0004863722107081829,0.0004863722107081829,0.0004863722107081829,3352.986926844342,17218.74951171875,17740.0,2.0,6.73362625,0.836,2.9079999999809267,8564.836359975585,1158.47314453125,17740.0
17,4.515466066507193,0.0,0.0,0.00048463408742551345,0.00048463408742551345,0.00048463408742551345,3353.5546537220994,17218.74951171875,17740.0,2.0,6.67917875,1.096,3.4919999999427795,8511.591301792292,1158.47314453125,17740.0
18,4.4118206684405985,0.0,0.0,0.0004827952390426216,0.0004827952390426216,0.0004827952390426216,3355.1541896564986,17218.74951171875,17740.0,2.0,6.6070275,1.396,4.515999999923706,8468.217372792931,1158.47314453125,17740.0
19,4.429025347416218,0.0,0.0,0.0004808564721391826,0.0004808564721391826,0.0004808564721391826,3354.479939198215,17218.74951171875,17740.0,2.0,6.51284,1.91,6.006000000305176,8727.741865674514,1158.47314453125,17740.0
20,4.414920513446514,0.0,0.0,0.0004788186371224372,0.0004788186371224372,0.0004788186371224372,3356.2431750481533,17218.74951171875,17740.0,2.0,6.39497625,2.764,8.277999999389648,8504.84507846256,1158.47314453125,17740.0
21,4.336963451825655,0.0,0.0,0.0004766826278541748,0.0004766826278541748,0.0004766826278541748,3351.9057387479716,17218.74951171875,17740.0,2.0,6.24921,3.9999999999427795,11.502000002441406,8664.007693510861,1158.47314453125,17740.0
22,4.202062460092398,0.0,0.0,0.00047444938125865615,0.00047444938125865615,0.00047444938125865615,3358.563437319304,17218.74951171875,17740.0,2.0,6.07494125,5.917999999465942,15.931999997253419,8569.660940624768,1158.47314453125,17740.0
23,4.213139213048494,0.0,0.0,0.0004721198769116476,0.0004721198769116476,0.0004721198769116476,3355.052062210873,17218.74951171875,17740.0,2.0,5.87047625,8.724000000305177,21.615999993896484,8556.190924436562,1158.47314453125,17740.0
24,4.216316791681143,0.0,0.0,0.00046969513661074654,0.00046969513661074654,0.00046969513661074654,3334.2014499874444,17218.74951171875,17740.0,2.0,5.6352025,12.125999991455078,28.299999986572267,8516.200440178902,1158.47314453125,17740.0
25,4.254682742632353,0.0,0.0,0.0004671762239271875,0.0004671762239271875,0.0004671762239271875,3355.9311794039027,17218.74951171875,17740.0,2.0,5.375345,16.40399998535156,35.06000001464844,8750.351010932347,1158.47314453125,17740.0
26,4.066876558157114,0.0,0.0,0.0004645642437393242,0.0004645642437393242,0.0004645642437393242,3351.6541383354615,17218.74951171875,17740.0,2.0,5.1006775,20.897999992675782,41.60799997558594,8683.739834301243,1158.47314453125,17740.0
27,4.119398282124446,0.0,0.0,0.0004618603417479937,0.0004618603417479937,0.0004618603417479937,3359.602193149645,17218.74951171875,17740.0,2.0,4.82210375,25.25400000854492,47.54199997436523,8573.458626759844,1158.47314453125,17740.0
28,4.125914674538833,0.0,0.0,0.00045906570397397437,0.00045906570397397437,0.00045906570397397437,3351.379022960461,17218.74951171875,17740.0,2.0,4.55494,29.25800001220703,52.63199998535156,8601.42197408465,1158.47314453125,17740.0
29,4.12673700772799,0.0,0.0,0.0004561815562377575,0.0004561815562377575,0.0004561815562377575,3353.739247541116,17218.74951171875,17740.0,2.0,4.30120125,32.89199999755859,56.9539999975586,8463.889899432706,1158.47314453125,17740.0
30,4.067014565834632,0.0,0.0,0.00045320916362186214,0.00045320916362186214,0.00045320916362186214,3360.458790935028,17218.74951171875,17740.0,2.0,4.06354625,36.163999982910155,60.51599998535156,8476.995941280544,1158.47314453125,17740.0
31,4.044521405146672,0.0,0.0,0.0004501498299159281,0.0004501498299159281,0.0004501498299159281,3357.0088879975997,17218.74951171875,17740.0,2.0,3.845726875,38.94399999145508,63.43399997558594,8660.257769560925,1158.47314453125,17740.0
32,3.9581750631332397,0.0,0.0,0.00044700489704483076,0.00044700489704483076,0.00044700489704483076,3359.494505578427,17218.74951171875,17740.0,2.0,3.64978375,41.20199998901367,66.01399996337891,8407.997177811922,1158.47314453125,17740.0
33,4.026364766634428,0.0,0.0,0.0004437757444800684,0.0004437757444800684,0.0004437757444800684,3348.750640451812,17218.74951171875,17740.0,2.0,3.473384375,43.37199998046875,68.14000000976563,8498.401569363104,1158.47314453125,17740.0
34,3.95411925132458,0.0,0.0,0.00044046378863468033,0.00044046378863468033,0.00044046378863468033,3346.6304211873444,17218.74951171875,17740.0,2.0,3.315315,45.29199997436523,69.90799998291016,8483.746772404975,1158.47314453125,17740.0
35,3.910478582749,0.0,0.0,0.00043707048224196166,0.00043707048224196166,0.00043707048224196166,3351.795217343075,17218.74951171875,17740.0,2.0,3.17402,46.89399997314453,71.30600000244141,8504.364994028925,1158.47314453125,17740.0
36,3.9048240459882297,0.0,0.0,0.00043359731371824586,0.00043359731371824586,0.00043359731371824586,3350.5422034311637,17218.74951171875,17740.0,2.0,3.047509375,48.27799999267578,72.57200002441407,8580.26503691906,1158.47314453125,17740.0
37,3.89139710022853,0.0,0.0,0.00043004580651003686,0.00043004580651003686,0.00043004580651003686,3361.627818010242,17218.74951171875,17740.0,2.0,2.933670625,49.46399998779297,73.70799999511719,8509.310872869479,1158.47314453125,17740.0
38,3.884586315888625,0.0,0.0,0.0004264175184257746,0.0004264175184257746,0.0004264175184257746,3354.541298321497,17218.74951171875,17740.0,2.0,2.828466875,50.61600001220703,74.59199999511719,8719.174940620776,1158.47314453125,17740.0
39,3.834583126581632,0.0,0.0,0.0004227140409525287,0.0004227140409525287,0.0004227140409525287,3355.814192585583,17218.74951171875,17740.0,2.0,2.73227875,51.727999982910156,75.55800001953125,8675.820338231528,1158.47314453125,17740.0
40,3.9430793798886814,0.0,0.0,0.0004189369985579203,0.0004189369985579203,0.0004189369985579203,3359.135620662462,17218.74951171875,17740.0,2.0,2.64297,52.80400000488281,76.38600001708984,8404.918921856512,1158.47314453125,17740.0
41,3.8187635128314676,0.0,0.0,0.0004150880479775759,0.0004150880479775759,0.0004150880479775759,3349.9376959733495,17218.74951171875,17740.0,2.0,2.55824,53.772000029296876,77.27800006591796,8446.509498331825,1158.47314453125,17740.0
42,3.7649970329724827,0.0,0.0,0.000411168877488429,0.000411168877488429,0.000411168877488429,3356.194044877882,17218.74951171875,17740.0,2.0,2.47833625,54.566,78.09200001220704,8488.91162149371,1158.47314453125,17740.0
43,3.8048809399971595,0.0,0.0,0.0004071812061681861,0.0004071812061681861,0.0004071812061681861,3352.5401190028165,17218.74951171875,17740.0,2.0,2.39899875,55.56999997314453,78.83200006103516,8491.046360789545,1158.47314453125,17740.0
44,3.8209272072865414,0.0,0.0,0.00040312678314128193,0.00040312678314128193,0.00040312678314128193,3356.2937260125127,17218.74951171875,17740.0,2.0,2.3231309375,56.54199999755859,79.56200003417969,8376.070362838089,1158.47314453125,17740.0
45,3.744007789171659,0.0,0.0,0.00039900738681165594,0.00039900738681165594,0.00039900738681165594,3349.5849030197533,17218.74951171875,17740.0,2.0,2.252584375,57.39199999267578,80.30799998046875,8388.223819349074,1158.47314453125,17740.0
46,3.724593941981976,0.0,0.0,0.0003948248240826858,0.0003948248240826858,0.0003948248240826858,3352.5332159079467,17218.74951171875,17740.0,2.0,2.1829675,58.33800001953125,80.94400000488281,8473.70672505356,1158.47314453125,17740.0
47,3.72837941463177,0.0,0.0,0.0003905809295646193,0.0003905809295646193,0.0003905809295646193,3355.7986072554495,17218.74951171875,17740.0,2.0,2.1168153125,59.24399996826172,81.72000005371093,8468.63559009008,1158.47314453125,17740.0
48,3.7376578404353213,0.0,0.0,0.0003862775647698542,0.0003862775647698542,0.0003862775647698542,3347.015198431875,17218.74951171875,17740.0,2.0,2.0528678125,60.13000001953125,82.358000078125,8485.676673752252,1158.47314453125,17740.0
49,3.7260864056073704,0.0,0.0,0.00038191661729641694,0.00038191661729641694,0.00038191661729641694,3355.550051704347,17218.74951171875,17740.0,2.0,1.9931684375,60.89400001953125,83.05400002441407,8549.487118911404,1158.47314453125,17740.0
50,3.690409862078153,0.0,0.0,0.0003775,0.0003775,0.0003775,3343.6315763138186,17218.74951171875,17740.0,2.0,1.9349590625,61.75600004394531,83.69600002197265,8344.46942829089,1158.47314453125,17740.0
51,3.6812931207510142,0.0,0.0,0.0003730296501549202,0.0003730296501549202,0.0003730296501549202,3345.730139724571,17218.74951171875,17740.0,2.0,1.8775078125,62.610000017089845,84.30600002197265,8388.08995156459,1158.47314453125,17740.0
52,3.632246833581191,0.0,0.0,0.0003685075286043662,0.0003685075286043662,0.0003685075286043662,3357.606430958371,17218.74951171875,17740.0,2.0,1.822305,63.47200001708985,84.93400004638671,8530.023853456922,1158.47314453125,17740.0
