epoch,train_loss,train_top1,train_top5,train_lr,train_lr_min,train_lr_max,train_throughput,train_mem_allocated_mb,train_mem_reserved_mb,train_effective_lambda,train_retained_tokens,train_soft_topk_aux_weight,eval_loss,eval_top1,eval_top5,eval_throughput,eval_mem_allocated_mb,eval_mem_reserved_mb,eval_top1_full_compression
0,4.619393821716309,0.0,0.0,1e-06,1e-06,1e-06,423.0117938193811,33453.3173828125,35512.0,2.0,392,0.0,4.66671875,1.51,6.47,1247.7144741285492,3293.255859375,35512.0,0.0
1,4.5226110820770264,0.0,0.0,5.0950000000000005e-05,5.0950000000000005e-05,5.0950000000000005e-05,428.82318524262223,33444.60498046875,35512.0,2.0,392,0.0,4.6153125,2.22,8.15,1224.7255509836236,3293.255859375,35512.0,0.0
2,4.439486442565918,0.0,0.0,0.00010090000000000001,0.00010090000000000001,0.00010090000000000001,428.96808849060665,33444.60498046875,35512.0,2.0,392,0.0,4.53890625,3.18,10.91,1230.7589379443443,3293.255859375,35512.0,0.0
3,4.408678279876709,0.0,0.0,0.00015085000000000003,0.00015085000000000003,0.00015085000000000003,428.7718130947676,33444.60498046875,35512.0,2.0,392,0.0,4.451015625,4.35,15.07,1225.143497018829,3293.255859375,35512.0,0.0
4,4.386866315841675,0.0,0.0,0.00020080000000000003,0.00020080000000000003,0.00020080000000000003,429.18786947337674,33444.60498046875,35512.0,2.0,392,0.0,4.36421875,5.64,19.74,1222.2263439341011,3293.255859375,35512.0,0.0
5,4.365591306686401,0.0,0.0,0.00025075000000000005,0.00025075000000000005,0.00025075000000000005,428.37477010049946,33444.60498046875,35512.0,2.0,392,0.0,4.287421875,6.96,23.32,1230.5350303589187,3293.255859375,35512.0,0.0
6,4.351741418838501,0.0,0.0,0.0003007000000000001,0.0003007000000000001,0.0003007000000000001,428.45310744209536,33444.60498046875,35512.0,2.0,392,0.0,4.22046875,8.44,27.36,1237.9064947189436,3293.255859375,35512.0,0.0
7,4.345223201751709,0.0,0.0,0.0003506500000000001,0.0003506500000000001,0.0003506500000000001,428.27296650061913,33444.60498046875,35512.0,2.0,392,0.0,4.1634375,9.75,29.66,1227.9094418894454,3293.255859375,35512.0,0.0
8,4.345640787124633,0.0,0.0,0.0004006000000000001,0.0004006000000000001,0.0004006000000000001,429.292335345416,33444.60498046875,35512.0,2.0,392,0.0,4.113984375,10.65,31.41,1227.3188514743408,3293.255859375,35512.0,0.0
9,4.320478246688843,0.0,0.0,0.0004505500000000001,0.0004505500000000001,0.0004505500000000001,427.81075493160233,33444.60498046875,35512.0,2.0,392,0.0,4.068984375,11.67,32.97,1211.1936094733542,3293.255859375,35512.0,0.0
10,4.323338548660279,0.0,0.0,0.0005005000000000001,0.0005005000000000001,0.0005005000000000001,427.10839173780187,33444.60498046875,35512.0,2.0,392,0.0,4.0277734375,12.39,34.37,1225.1105389345005,3293.255859375,35512.0,0.0
11,4.318856410980224,0.0,0.0,0.0005504500000000001,0.0005504500000000001,0.0005504500000000001,426.8875057383659,33444.60498046875,35512.0,2.0,392,0.0,3.986484375,13.27,36.05,1214.591427187148,3293.255859375,35512.0,0.0
12,4.326273748397827,0.0,0.0,0.0006004000000000002,0.0006004000000000002,0.0006004000000000002,428.12154652980337,33444.60498046875,35512.0,2.0,392,0.0,3.9455859375,13.92,37.4,1233.1339480073261,3293.255859375,35512.0,0.0
13,4.319817518234253,0.0,0.0,0.0006503500000000002,0.0006503500000000002,0.0006503500000000002,429.0415019858466,33444.60498046875,35512.0,2.0,392,0.0,3.905859375,14.49,38.64,1239.0442704072182,3293.255859375,35512.0,0.0
14,4.313332226753235,0.0,0.0,0.0007003000000000002,0.0007003000000000002,0.0007003000000000002,428.3980582673017,33444.60498046875,35512.0,2.0,392,0.0,3.865078125,15.06,39.91,1230.9491482575481,3293.255859375,35512.0,0.0
15,4.305924068450928,0.0,0.0,0.0007502500000000002,0.0007502500000000002,0.0007502500000000002,429.4631205995226,33444.60498046875,35512.0,2.0,392,0.0,3.8237890625,15.65,40.96,1224.190075561844,3293.255859375,35512.0,0.0
